path	sha256	width	height	viewport	case_id	state	flows	locale	status	approval_reason
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-AFTER19-PROMPT-EN-FL-013-en-1440x1000-desktop-chromium-darwin.png	5d73eb4d1deb3179fb2f2080d1df32d58a272cf4882f5440f61e59c90e09d19f	1440	1000	1440x1000	B-PX-AFTER19-PROMPT-EN	AFTER19-PROMPT	FL-013	en	FROZEN	R5-CARRY: byte-identical to SLEEK-R5 reviewed baseline; prior approval retained
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-AFTER19-VENUE-LOCKED-EN-FL-002-en-1440x1000-desktop-chromium-darwin.png	7fb29636ed342416f96f68bb520d2798d43806581fb4ab7460748a32ab24f940	1440	1000	1440x1000	B-PX-AFTER19-VENUE-LOCKED-EN	AFTER19-VENUE-LOCKED	FL-002	en	FROZEN	R5-FIX: locked-venue focus-token baseline changed for R5-001; approval_commit=ee19adb2a5fce5bea7e0aeb6a8caac80ca65bd2f; prior_sha=a7a28bcb877d8301abc4313a7e1cc1cad85336f00e96b5c50e080bc82f064606
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-AFTER19-VENUE-RETURN-EN-FL-002-FL-013-FL-014-en-1440x1000-desktop-chromium-darwin.png	211ab8c3315ec6b78b948929c0cced309fad6d1a84505094a3313cc3a7b38bd0	1440	1000	1440x1000	B-PX-AFTER19-VENUE-RETURN-EN	AFTER19-VENUE-RETURN	FL-002,FL-013,FL-014	en	FROZEN	R5-CARRY: byte-identical to SLEEK-R5 reviewed baseline; prior approval retained
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHAT-EN-FL-003-en-1440x1000-desktop-chromium-darwin.png	3436ad84d02dad5831ef6d4dffa115160cf97ce3c18137d39ba13e981f8cd2a6	1440	1000	1440x1000	B-PX-CHAT-EN	CHAT	FL-003	en	FROZEN	R5-CARRY: byte-identical to SLEEK-R5 reviewed baseline; prior approval retained
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHAT-IMAGE-FAIL-EN-FL-003-en-1440x1000-desktop-chromium-darwin.png	ff5661d5bdd467ac8ac642fb6fb9cd6545d6387f8fc8c56a17b291eacb1443b6	1440	1000	1440x1000	B-PX-CHAT-IMAGE-FAIL-EN	CHAT-IMAGE-FAIL	FL-003	en	FROZEN	R5-CARRY: byte-identical to SLEEK-R5 reviewed baseline; prior approval retained
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHECKOUT-CANCEL-KO-FL-004-ko-1440x1000-desktop-chromium-darwin.png	b8a36c374b1c36107d644a10bba71d38bf205d8a695d6d370f3ecdac548adf2c	1440	1000	1440x1000	B-PX-CHECKOUT-CANCEL-KO	CHECKOUT-CANCEL	FL-004	ko	FROZEN	R5-CARRY: byte-identical to SLEEK-R5 reviewed baseline; prior approval retained
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHECKOUT-FAIL-EN-FL-004-en-1440x1000-desktop-chromium-darwin.png	b1c0fa89386363de461d695bf8bf8f237a73fbf888be70c6ff31a71ffbb7ad5c	1440	1000	1440x1000	B-PX-CHECKOUT-FAIL-EN	CHECKOUT-FAIL	FL-004	en	FROZEN	R5-CARRY: byte-identical to SLEEK-R5 reviewed baseline; prior approval retained
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHECKOUT-IDLE-EN-FL-004-FL-017-en-1440x1000-desktop-chromium-darwin.png	301dfd3071d9eb1a6ae8b43ea7f7c37e88fab9719e3c543eda1cbef489dbca92	1440	1000	1440x1000	B-PX-CHECKOUT-IDLE-EN	CHECKOUT-IDLE	FL-004,FL-017	en	FROZEN	R5-CARRY: byte-identical to SLEEK-R5 reviewed baseline; prior approval retained
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHECKOUT-RECEIPT-EN-FL-004-en-1440x1000-desktop-chromium-darwin.png	f4f706aff1edc61d2ba55a0947c1259dbb379c805b85de4a5eef7dfdab226cde	1440	1000	1440x1000	B-PX-CHECKOUT-RECEIPT-EN	CHECKOUT-RECEIPT	FL-004	en	FROZEN	R5-CARRY: byte-identical to SLEEK-R5 reviewed baseline; prior approval retained
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHECKOUT-STAMP-KO-FL-004-ko-1440x1000-desktop-chromium-darwin.png	d64561e8dbe3326b1030f6aa644ce370a47f53c7adedf430f2f90fd1821cd164	1440	1000	1440x1000	B-PX-CHECKOUT-STAMP-KO	CHECKOUT-STAMP	FL-004	ko	FROZEN	R5-CARRY: byte-identical to SLEEK-R5 reviewed baseline; prior approval retained
